Start,Origin time,End,Quality,dV,V_ICME,V_max,B,Dst_min,Vtransit,LASSO CME
2001-10-27 03:00:00,2001/10/26 2200,2001-10-28 12:00:00,3,20,420.0,500.0,10.0,-27,417,2001/10/22 1826
2001-10-29 22:00:00,2001/10/28 0319,2001-10-31 13:00:00,2,150 S,360.0,510.0,5.0,-157,694,2001/10/25 1526
2001-10-31 20:00:00,2001/10/31 1348,2001-11-02 12:00:00,2,60 S,330.0,390.0,11.0,-106,,
2001-11-05 19:00:00,2001/11/05 1000,2001-11-06 06:00:00,2,30,420.0,430.0,18.0,-73,,
2001-11-06 12:00:00,2001/11/06 0152,2001-11-09 03:00:00,2,300 S,600.0,750.0,7.0,-292,1250,2001/11/04 1635 H
2001-11-19 22:00:00,2001/11/19 1815,2001-11-21 13:00:00,3W,130 S,430.0,570.0,6.0,-47,680,2001/11/17 0530 H
2001-11-24 14:00:00,2001/11/24 0656,2001-11-25 20:00:00,2,550 S,720.0,1040.0,14.0,-221,1320,2001/11/22 2330 H
2001-12-28 00:00:00,2001/12/28 0000,2001-12-29 12:00:00,2,10,360.0,370.0,8.0,-10,,
2001-12-30 00:00:00,2001/12/29 0538,2001-12-30 18:00:00,3,90 S,400.0,460.0,16.0,-58,580,2001/12/26 0530?
2002-02-28 17:00:00,2002/02/28 0451,2002-03-02 00:00:00,2,80 S,390.0,410.0,11.0,-71,,
2002-03-19 05:00:00,2002/03/18 1322,2002-03-20 16:00:00,2,160 S,380.0,470.0,15.0,-37,667,2002/03/15 2306
2002-03-21 14:00:00,2002/03/20 1328,2002-03-22 06:00:00,3,210 S,440.0,580.0,8.0,-13,,
2002-03-24 12:00:00,2002/03/23 1137,2002-03-25 20:00:00,2,70 S,450.0,500.0,15.0,-100,625,2002/03/20 1706?
2002-04-12 01:00:00,2002/04/12 0100,2002-04-13 13:00:00,3W,0,420.0,450.0,8.0,-32,,
2002-04-17 16:00:00,2002/04/17 1107,2002-04-19 15:00:00,1,150 S,480.0,610.0,14.0,-127,750,2002/04/15 0350 H
2002-04-20 00:00:00,2002/04/19 0835,2002-04-21 18:00:00,1,200 S,500.0,640.0,8.0,-149,863,2002/04/17 0826 H
2002-05-11 15:00:00,2002/05/11 1014,2002-05-12 00:00:00,2,90 S,430.0,440.0,15.0,-110,610,2002/05/08 1350 H
2002-05-20 10:00:00,2002/05/20 0340,2002-05-21 22:00:00,3,70 S,420.0,510.0,7.0,-36,420,2002/05/16 0050 H
2002-05-23 20:00:00,2002/05/23 1050,2002-05-25 18:00:00,2,400 S,590.0,920.0,11.0,-109,1323,2002/05/22 0326 H
2002-07-18 12:00:00,2002/07/17 1603,2002-07-19 09:00:00,3,100 S,460.0,520.0,6.0,-17,955,2002/07/15 2030 H
2002-07-20 02:00:00,2002/07/19 1450(A),2002-07-22 06:00:00,2,650 S,650.0,930.0,7.0,-36,,
2002-07-31 22:00:00,2002/07/31 1100,2002-08-01 09:00:00,3,40,410.0,460.0,10.0,-21,,
2002-08-01 09:00:00,2002/08/01 0510,2002-08-01 23:00:00,2,70 S,450.0,460.0,12.0,-51,,
2002-08-02 06:00:00,2002/08/01 2309,2002-08-04 02:00:00,2,60 S,460.0,520.0,10.0,-102,500,2002/07/29 1207
2002-08-19 12:00:00,2002/08/18 1846,2002-08-21 14:00:00,2,160 S,460.0,580.0,8.0,-106,766,2002/08/16 1230 H
2002-08-29 21:00:00,2002/08/29 2100,2002-08-30 06:00:00,2W,0,400.0,420.0,8.0,-42,,
2002-09-07 12:00:00,2002/09/07 1200,2002-09-08 04:00:00,2,0,380.0,400.0,8.0,-41,,
2002-09-08 04:00:00,2002/09/07 1636,2002-09-08 20:00:00,2,170 S,470.0,550.0,11.0,-181,880,2002/09/05 1654 H
